root_uid	eventmention_id	slot_type	argmention_id	attribute
JC002YCXK	VMJC002YCXK.000092	evt150arg01victim	EMJC002YCXK.000113	none
JC002YCXK	VMJC002YCXK.000092	evt150arg03disease	EMJC002YCXK.000126	none
JC002YCXK	VMJC002YCXK.000092	evt150arg04place	EMJC002YCXK.000139	none
JC002YCXK	VMJC002YCXK.000199	evt150arg03disease	EMJC002YCXK.000220	none
JC002YCXK	VMJC002YCXK.000199	evt150arg01victim	EMJC002YCXK.000113	none
JC002YCXK	VMJC002YCXK.000199	evt150arg04place	EMJC002YCXK.000139	none
JC002YCXK	VMJC002YCXK.000233	evt112arg02passenger	EMJC002YCXK.000254	none
JC002YCXK	VMJC002YCXK.000233	evt112arg04origin	EMJC002YCXK.000267	none
JC002YCXK	VMJC002YCXK.000301	evt080arg02defendant	EMJC002YCXK.000254	none
JC002YCXK	VMJC002YCXK.000301	evt080arg05place	EMJC002YCXK.000267	none
JC002YCXK	VMJC002YCXK.000408	evt150arg01victim	EMJC002YCXK.000429	none
JC002YCXK	VMJC002YCXK.000408	evt150arg03disease	EMJC002YCXK.000442	none
JC002YCXK	VMJC002YCXK.000408	evt150arg04place	EMJC002YCXK.000267	none
JC002YCXK	VMJC002YCXK.000515	evt150arg04place	EMJC002YCXK.000536	none
JC002YCXK	VMJC002YCXK.000515	evt150arg01victim	EMJC002YCXK.000549	none
JC002YCXK	VMJC002YCXK.000515	evt150arg03disease	EMJC002YCXK.000562	none
JC002YCXK	VMJC002YCXK.000622	evt150arg03disease	EMJC002YCXK.000643	none
JC002YCXK	VMJC002YCXK.000622	evt150arg01victim	EMJC002YCXK.000429	none
JC002YCXK	VMJC002YCXK.000622	evt150arg04place	EMJC002YCXK.000536	none
JC002YCXK	VMJC002YCXK.000690	evt150arg01victim	EMJC002YCXK.000429	none
JC002YCXK	VMJC002YCXK.000690	evt150arg03disease	EMJC002YCXK.000724	none
JC002YCXK	VMJC002YCXK.000690	evt150arg04place	EMJC002YCXK.000536	none
JC002YCXK	VMJC002YCXK.000789	evt150arg04place	EMJC002YCXK.000810	none
JC002YCXK	VMJC002YCXK.000823	evt150arg01victim	EMJC002YCXK.000844	none
JC002YCXK	VMJC002YCXK.000823	evt150arg03disease	EMJC002YCXK.000857	none
JC002YCXK	VMJC002YCXK.000823	evt150arg04place	EMJC002YCXK.000870	none
JC002YCXK	VMJC002YCXK.000930	evt150arg03disease	EMJC002YCXK.000951	none
