kb_id	mention_id	root_uid
NILE20470	EMJC002YCXK.001996	JC002YCXK
NILE20471	EMJC002YCXK.001970	JC002YCXK
NILE20472	EMJC002YCXK.002009	JC002YCXK
NILE20473	EMJC002YCXK.001983	JC002YCXK
NILE20474	EMJC002YCXK.000549	JC002YCXK
NILE20475	EMJC002YCXK.000917	JC002YCXK
NILE20475	EMJC002YCXK.000844	JC002YCXK
NILE20476	EMJC002YCXK.000502	JC002YCXK
NILE20476	EMJC002YCXK.002124	JC002YCXK
NILE20477	EMJC002YCXK.000489	JC002YCXK
NILE20477	EMJC002YCXK.000113	JC002YCXK
NILE20477	EMJC002YCXK.000429	JC002YCXK
NILE20478	EMJC002YCXK.001663	JC002YCXK
NILE20478	EMJC002YCXK.001832	JC002YCXK
NILE20479	EMJC002YCXK.000562	JC002YCXK
NILE20479	EMJC002YCXK.000724	JC002YCXK
NILE20479	EMJC002YCXK.000857	JC002YCXK
NILE20479	EMJC002YCXK.000951	JC002YCXK
NILE20480	EMJC002YCXK.001366	JC002YCXK
NILE20481	EMJC002YCXK.001533	JC002YCXK
NILE20478	EMJC002YCXK.000254	JC002YCXK
NILE20478	EMJC002YCXK.001118	JC002YCXK
NILE20482	EMJC002YCXK.000810	JC002YCXK
NILE20488	EMJC002YCXK.001191	JC002YCXK
NILE20479	EMJC002YCXK.000220	JC002YCXK
NILE20489	EMJC002YCXK.002043	JC002YCXK
NILE20491	EMJC002YCXK.002056	JC002YCXK
NILE20492	EMJC002YCXK.001058	JC002YCXK
NILE20490	EMJC002YCXK.001871	JC002YCXK
NILE20490	EMJC002YCXK.001884	JC002YCXK
NILE20490	EMJC002YCXK.001923	JC002YCXK
NILE20489	EMJC002YCXK.001858	JC002YCXK
NILE20496	EMJC002YCXK.001400	JC002YCXK
NILE20496	EMJC002YCXK.001434	JC002YCXK
NILE20493	EMJC002YCXK.001728	JC002YCXK
NILE20493	EMJC002YCXK.001741	JC002YCXK
NILE20493	EMJC002YCXK.001754	JC002YCXK
NILE20493	EMJC002YCXK.001780	JC002YCXK
NILE20493	EMJC002YCXK.001793	JC002YCXK
NILE20493	EMJC002YCXK.001806	JC002YCXK
NILE20493	EMJC002YCXK.001845	JC002YCXK
NILE20494	EMJC002YCXK.001767	JC002YCXK
NILE20495	EMJC002YCXK.001897	JC002YCXK
NILE20497	EMJC002YCXK.001353	JC002YCXK
NILE20498	EMJC002YCXK.001624	JC002YCXK
NILE20498	EMJC002YCXK.001650	JC002YCXK
NILE20499	EMJC002YCXK.000998	JC002YCXK
NILE20482	EMJC002YCXK.000139	JC002YCXK
NILE20482	EMJC002YCXK.001306	JC002YCXK
NILE20500	EMJC002YCXK.001071	JC002YCXK
NILE20479	EMJC002YCXK.001340	JC002YCXK
NILE20501	EMJC002YCXK.001689	JC002YCXK
NILE20502	EMJC002YCXK.001702	JC002YCXK
NILE20503	EMJC002YCXK.001238	JC002YCXK
NILE20504	EMJC002YCXK.001447	JC002YCXK
NILE20505	EMJC002YCXK.002171	JC002YCXK
NILE20506	EMJC002YCXK.001460	JC002YCXK
NILE20508	EMJC002YCXK.000126	JC002YCXK
NILE20507	EMJC002YCXK.000442	JC002YCXK
NILE20509	EMJC002YCXK.000643	JC002YCXK
NILE20483	EMJC002YCXK.000267	JC002YCXK
NILE20483	EMJC002YCXK.000536	JC002YCXK
NILE20483	EMJC002YCXK.000870	JC002YCXK
NILE20483	EMJC002YCXK.000964	JC002YCXK
NILE20483	EMJC002YCXK.001011	JC002YCXK
NILE20483	EMJC002YCXK.001272	JC002YCXK
NILE20487	EMJC002YCXK.001520	JC002YCXK
NILE20484	EMJC002YCXK.001507	JC002YCXK
NILE20485	EMJC002YCXK.001045	JC002YCXK
NILE20486	EMJC002YCXK.001494	JC002YCXK
NILE22385	EMJC002YC48.000306	JC002YC48
NILE22386	EMJC002YC48.000212	JC002YC48
NILE22387	EMJC002YC48.000400	JC002YC48
NILE22388	EMJC002YC48.000024	JC002YC48
NILE22388	EMJC002YC48.000071	JC002YC48
NILE22388	EMJC002YC48.000165	JC002YC48
NILE22388	EMJC002YC48.000494	JC002YC48
NILE22388	EMJC002YC48.000761	JC002YC48
NILE22392	EMJC002YC48.000787	JC002YC48
NILE22388	EMJC002YC48.000915	JC002YC48
NILE22394	EMJC002YC48.000881	JC002YC48
NILE22396	EMJC002YC48.000541	JC002YC48
NILE22388	EMJC002YC48.000575	JC002YC48
NILE22400	EMJC002YC48.000774	JC002YC48
NILE22397	EMJC002YC48.000259	JC002YC48
NILE22398	EMJC002YC48.000131	JC002YC48
NILE22388	EMJC002YC48.000118	JC002YC48
NILE22400	EMJC002YC48.000225	JC002YC48
NILE22393	EMJC002YC48.000447	JC002YC48
NILE22394	EMJC002YC48.000528	JC002YC48
NILE22395	EMJC002YC48.000800	JC002YC48
NILE22389	EMJC002YC48.000588	JC002YC48
NILE22389	EMJC002YC48.000813	JC002YC48
NILE22390	EMJC002YC48.000748	JC002YC48
NILE22391	EMJC002YC48.000353	JC002YC48
NILE22392	EMJC002YC48.000037	JC002YC48
NILE22392	EMJC002YC48.000084	JC002YC48
NILE22392	EMJC002YC48.000178	JC002YC48
NILE22392	EMJC002YC48.000847	JC002YC48
NILE22455	EMJC002YF02.000374	JC002YF02
NILE22456	EMJC002YF02.000186	JC002YF02
NILE22457	EMJC002YF02.000876	JC002YF02
NILE22458	EMJC002YF02.000536	JC002YF02
NILE22458	EMJC002YF02.000549	JC002YF02
NILE22458	EMJC002YF02.000408	JC002YF02
NILE22458	EMJC002YF02.000489	JC002YF02
NILE22459	EMJC002YF02.000139	JC002YF02
NILE22460	EMJC002YF02.000071	JC002YF02
NILE22461	EMJC002YF02.000730	JC002YF02
NILE22462	EMJC002YF02.000058	JC002YF02
NILE22463	EMJC002YF02.000842	JC002YF02
NILE22464	EMJC002YF02.000910	JC002YF02
NILE22465	EMJC002YF02.000314	JC002YF02
NILE22466	EMJC002YF02.001012	JC002YF02
NILE22467	EMJC002YF02.000523	JC002YF02
NILE22468	EMJC002YF02.000105	JC002YF02
NILE22469	EMJC002YF02.000808	JC002YF02
NILE22470	EMJC002YF02.000944	JC002YF02
NILE22470	EMJC002YF02.000769	JC002YF02
NILE22471	EMJC002YF02.000233	JC002YF02
NILE22472	EMJC002YF02.000220	JC002YF02
NILE22473	EMJC002YF02.000743	JC002YF02
NILE22474	EMJC002YF02.000267	JC002YF02
NILE22475	EMJC002YF02.001093	JC002YF02
NILE22475	EMJC002YF02.000280	JC002YF02
NILE22476	EMJC002YF02.000327	JC002YF02
NILE22477	EMJC002YF02.000756	JC002YF02
NILE22478	EMJC002YF02.000795	JC002YF02
NILE22479	EMJC002YF02.000455	JC002YF02
NILE22480	EMJC002YF02.001127	JC002YF02
NILE22481	EMJC002YF02.000782	JC002YF02
NILE22481	EMJC002YF02.000421	JC002YF02
NILE21445	EMJC002YD6G.000202	JC002YD6G
NILE21446	EMJC002YD6G.000717	JC002YD6G
NILE21447	EMJC002YD6G.000691	JC002YD6G
NILE21448	EMJC002YD6G.000113	JC002YD6G
NILE21449	EMJC002YD6G.000322	JC002YD6G
NILE21450	EMJC002YD6G.000369	JC002YD6G
NILE21451	EMJC002YD6G.000100	JC002YD6G
NILE21459	EMJC002YD6G.000275	JC002YD6G
NILE21452	EMJC002YD6G.000484	JC002YD6G
NILE21453	EMJC002YD6G.000215	JC002YD6G
NILE21454	EMJC002YD6G.000743	JC002YD6G
NILE21455	EMJC002YD6G.000777	JC002YD6G
NILE21456	EMJC002YD6G.000262	JC002YD6G
NILE21457	EMJC002YD6G.000408	JC002YD6G
NILE21458	EMJC002YD6G.000678	JC002YD6G
NILE21459	EMJC002YD6G.000382	JC002YD6G
NILE21460	EMJC002YD6G.000309	JC002YD6G
NILE21461	EMJC002YD6G.000087	JC002YD6G
NILE21462	EMJC002YD6G.000790	JC002YD6G
NILE21462	EMJC002YD6G.000704	JC002YD6G
NILV20494	VMJC002YCXK.000233	JC002YCXK
NILV20494	VMJC002YCXK.001144	JC002YCXK
NILV20495	VMJC002YCXK.000301	JC002YCXK
NILV20495	VMJC002YCXK.001097	JC002YCXK
NILV20496	VMJC002YCXK.001024	JC002YCXK
NILV20497	VMJC002YCXK.000977	JC002YCXK
NILV20499	VMJC002YCXK.000789	JC002YCXK
NILV20499	VMJC002YCXK.000823	JC002YCXK
NILV20499	VMJC002YCXK.000930	JC002YCXK
NILV20500	VMJC002YCXK.000199	JC002YCXK
NILV20500	VMJC002YCXK.000515	JC002YCXK
NILV20500	VMJC002YCXK.000690	JC002YCXK
NILV20501	VMJC002YCXK.000408	JC002YCXK
NILV20502	VMJC002YCXK.000092	JC002YCXK
NILV20502	VMJC002YCXK.000622	JC002YCXK
NILV22385	VMJC002YC48.000003	JC002YC48
NILV22385	VMJC002YC48.000050	JC002YC48
NILV22385	VMJC002YC48.000144	JC002YC48
NILV22386	VMJC002YC48.000554	JC002YC48
NILV22387	VMJC002YC48.000473	JC002YC48
NILV22388	VMJC002YC48.000507	JC002YC48
NILV22455	VMJC002YF02.000502	JC002YF02
NILV22456	VMJC002YF02.000434	JC002YF02
NILV22457	VMJC002YF02.000003	JC002YF02
NILV22458	VMJC002YF02.000084	JC002YF02
NILV22458	VMJC002YF02.000118	JC002YF02
NILV22459	VMJC002YF02.000387	JC002YF02
NILV22460	VMJC002YF02.000293	JC002YF02
NILV22461	VMJC002YF02.000468	JC002YF02
NILV21445	VMJC002YD6G.000241	JC002YD6G
NILV21446	VMJC002YD6G.000160	JC002YD6G
NILV21447	VMJC002YD6G.000066	JC002YD6G
NILV21447	VMJC002YD6G.000288	JC002YD6G
NILV21447	VMJC002YD6G.000181	JC002YD6G
NILV21445	VMJC002YD6G.000463	JC002YD6G
NILR20494	RMJC002YCXK.000468	JC002YCXK
NILR20495	RMJC002YCXK.000883	JC002YCXK
NILR20496	RMJC002YCXK.002022	JC002YCXK
NILR20494	RMJC002YCXK.002090	JC002YCXK
NILR20497	RMJC002YCXK.002137	JC002YCXK
NILR22385	RMJC002YC48.000097	JC002YC48
NILR22386	RMJC002YC48.000191	JC002YC48
NILR22387	RMJC002YC48.000238	JC002YC48
NILR22388	RMJC002YC48.000285	JC002YC48
