root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	arg_status	level
KC003A59I	EMKC003A59I.000058	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_339	245,301,377,318	US-trained Iraqi division	org	militaryorganization	unspecified	base	EMPTY_NA
KC003A59I	EMKC003A59I.000071	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_339	427,305,531,317	Dozens of prisoners	per	unspecified	unspecified	base	EMPTY_NA
KC003A59I	EMKC003A59I.000084	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_339	544,304,577,317	Mosul	gpe	urbanarea	city	base	EMPTY_NA
KC003A59I	EMKC003A59I.000118	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_337	263,286,336,299	The opposition	sid	political	opposition	base	EMPTY_NA
KC003A59I	EMKC003A59I.000207	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_329	205,17,592,334	Nicolas Maduro	per	politician	headofgovernment	base	EMPTY_NA
KC003A59I	EMKC003A59I.000220	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_328	101,3,346,336	Journalist	per	professionalposition	journalist	base	EMPTY_NA
KC003A59I	EMKC003A59I.000301	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_334	89,144,269,330	Nicolas Maduro	per	politician	headofgovernment	base	EMPTY_NA
KC003A59I	EMKC003A59I.000314	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_334	342,151,502,336	Journalist	per	professionalposition	journalist	base	EMPTY_NA
KC003A59I	EMKC003A59I.000374	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_328	476,268,538,285	Caracas	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000387	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_328	331,301,389,320	Baikonur	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000504	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_328	39,304,88,320	Moscow	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000517	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_329	475,269,537,284	Caracas	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000530	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_329	45,306,84,320	Berlin	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000543	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_330	474,266,536,283	Caracas	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000556	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_330	43,303,86,319	Beijing	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000569	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_331	473,264,540,284	Caracas	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000582	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_331	43,305,84,320	Berlin	gpe	urbanarea	city	informative	EMPTY_NA
KC003A59I	EMKC003A59I.000595	KC003A59K	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	KC003A59K_332	473,269,538,284	Caracas	gpe	urbanarea	city	informative	EMPTY_NA
