root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
IC001V8WF	VMIC001V8WF.000147	IC001VBI8	180	187	exploded	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	explosive laden drones exploded	disaster	fireexplosion	fireexplosion	none	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000194	IC001VBI8	262	267	unhurt	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro was unhurt by explosion	life	injure	injurycausedbyviolentevents	not	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000280	IC001VBI8	218	225	speaking	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro speaking in Caracas	contact	publicstatementinperson	unspecified	none	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000327	IC001VBI8	382	392	assassinate	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Assassination attempt - LIFE DIE NOT	life	die	deathcausedbyviolentevents	not	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000442	IC001VBI8	447	453	address	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro addresses Venezuelan troops	contact	publicstatementinperson	unspecified	none	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000562	IC001VBI8	500	505	unhurt	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro was unhurt	life	injure	injurycausedbyviolentevents	none	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000609	IC001VBI8	536	543	exploded	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	explosives-laden drones exploded	disaster	fireexplosion	fireexplosion	none	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000630	IC001VBI8	156	171	explosives-laden	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Explosive-laden drones (transport artifact)	movement	transportartifact	bringcarryunload	none	startunk	EMPTY_NA	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000651	IC001VBI8	512	527	explosives-laden	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Explosive-laden drones (transport artifact)	movement	transportartifact	bringcarryunload	none	startunk	EMPTY_NA	endon	2018-08-04
IC001V8WF	VMIC001V8WF.000776	IC001VBI8	568	573	speech	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro makes speech that Julio Borges was co-conspirator in plot	contact	publicstatementinperson	unspecified	none	starton	2018-08-07	endon	2018-08-07
IC001V8WF	VMIC001V8WF.000844	IC001VBI8	712	715	plot	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The plot (attempt to assassinate Maduro) LIFE DIE NOT	life	die	deathcausedbyviolentevents	not	starton	2018-08-04	endon	2018-08-04
IC001V8WF	VMIC001V8WF.001032	IC001VBI8	841	854	investigations	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Investigations of assassination plot point to Borges	justice	investigate	investigatecrime	none	startafter	2018-08-04	endunk	EMPTY_NA
IC001V8WF	VMIC001V8WF.001220	IC001VBI8	1074	1081	arrested	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Requesens was arrested by Venezuelan police	justice	arrestjaildetain	arrestjaildetain	none	startafter	2018-08-04	endunk	EMPTY_NA
